movieCd,movieNm,movieNmEn,movieNmOg,openDt,showTm,genres,directors,audits,actors
20184105,['말모이'],['MAL·MO·E: The Secret Mission'],[''],['20190109'],['135'],[dict_values(['드라마'])],"[dict_values(['엄유나', 'EOM Yuna'])]","[dict_values(['2018-MF02396', '12세이상관람가'])]","[dict_values(['유해진', 'YOO Hae-jin', '', '']), dict_values(['윤계상', 'YOON Kye-sang', '', '']), dict_values(['김홍파', 'KIM Hong-pa', '', ''])]"
20176251,['내안의 그놈'],['Inside me'],[''],['20190109'],['122'],[dict_values(['판타지'])],"[dict_values(['강효진', 'KANG Hyo-jin'])]","[dict_values(['2018-MF01859', '15세이상관람가'])]","[dict_values(['박성웅', 'PARK Sung-woong', '판수', '']), dict_values(['진영', '', '동현', '']), dict_values(['라미란', 'RA Mi-ran', '미선', ''])]"
20189463,['주먹왕 랄프 2: 인터넷 속으로'],['Ralph Breaks the Internet'],[''],['20190103'],['112'],[dict_values(['애니메이션'])],"[dict_values(['리치 무어', 'Rich Moore'])]","[dict_values(['2018-MF02246', '전체관람가'])]","[dict_values(['존 C. 라일리', 'John C. Reilly', '', '']), dict_values(['사라 실버맨', 'Sarah Silverman', '', '']), dict_values(['맨디 무어', 'Mandy Moore', '', ''])]"
20180290,['아쿠아맨'],['AQUAMAN'],[''],['20181219'],['143'],[dict_values(['액션'])],"[dict_values(['제임스 완', 'James Wan'])]","[dict_values(['2018-MF02303 ', '12세이상관람가'])]","[dict_values(['제이슨 모모아', 'Jason Momoa', '', '']), dict_values(['앰버 허드', 'Amber Heard', '', '']), dict_values(['니콜 키드먼', 'Nicole Kidman', '', ''])]"
20183915,['극장판 공룡메카드: 타이니소어의 섬'],[''],[''],['20190110'],['70'],[dict_values(['애니메이션'])],"[dict_values(['최신규', 'CHOE Shin-gyu'])]","[dict_values(['2018-MF02159', '전체관람가'])]",[]
20185485,['보헤미안 랩소디'],['Bohemian Rhapsody'],[''],['20181031'],['134'],[dict_values(['드라마'])],"[dict_values(['브라이언 싱어', 'Bryan Singer'])]","[dict_values(['2018-MF01972', '12세이상관람가'])]","[dict_values(['레미 맬렉', 'Rami Malek', '', '']), dict_values(['조셉 마젤로', 'Joseph Mazzello', '', '']), dict_values(['마이크 마이어스', 'Mike Myers', '', ''])]"
20184574,['그린 북'],['Green Book'],[''],['20190109'],['130'],[dict_values(['드라마'])],"[dict_values(['피터 패럴리', 'Peter Farrelly'])]","[dict_values(['2018-MF02280', '12세이상관람가'])]","[dict_values(['비고 모텐슨', 'Viggo Mortensen', '', '']), dict_values(['마허샬라 알리', 'Mahershala Ali', '', ''])]"
20186281,['범블비'],['Bumblebee'],[''],['20181225'],['113'],[dict_values(['액션'])],"[dict_values(['트래비스 나이트', 'Travis Knight'])]","[dict_values(['2018-MF02395', '12세이상관람가'])]","[dict_values(['헤일리 스테인펠드', 'Hailee Steinfeld', '', '']), dict_values(['파멜라 애들론', 'Pamela Adlon', '', '']), dict_values(['존 시나', 'John Cena', '', ''])]"
20170658,['PMC: 더 벙커'],['Take Point'],[''],['20181226'],['124'],[dict_values(['액션'])],"[dict_values(['김병우', 'KIM Byung-woo'])]","[dict_values(['2018-MF02410', '15세이상관람가'])]","[dict_values(['하정우', 'HA Jung-woo', '', '']), dict_values(['이선균', 'LEE Sun-kyun', '', '']), dict_values(['제니퍼 엘', 'Jennifer Ehle', '', ''])]"
20175547,['스윙키즈'],['Swing Kids'],[''],['20181219'],['133'],[dict_values(['드라마'])],"[dict_values(['강형철', 'KANG Hyoung-chul'])]","[dict_values(['2018-MF02244', '12세이상관람가'])]","[dict_values(['도경수', 'DOH Kyung-soo', '', '']), dict_values(['박혜수', '', '', '']), dict_values(['자레드 그라임스', 'Jared Grimes', '', ''])]"
